"HB Weapons","Name","Specialisation","Dmg","Range","Mag","Enc","Cost","Avail","Traits","Description","Page"
"Radium Carbine","Radium Carbine","Long Guns",6,"Long",3,1,"800 (32)","Common","Burst, Inflict (Irradiated), Loud, Two-Handed","The Radium Carbine is a rapid-firing weapon capable of a punishing rate of fire, and serves as the main armament of the Skitarii Vanguard.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 11"
"Radium Jezzail","Radium Jezzail","Ordnance",8,"Extreme",5,2,"1,000 (400)","Scarce","Inflict (Irradiated), Loud, Two-Handed","The Radium Jezzail is a long, sniper-like Radium Weapon that is sometimes used by Sydonian Dragoons instead of a Taser Lance.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 11"
"Volkite Serpenta","Volkite Serpenta","Pistols",10,"Medium",6,1,"12,000 (800)","Scarce","Close, Loud, Penetrating (3), Rend (3)","The pistol variant of a Volkite Weapon wielded singlehanded, the Volkite Serpenta was sometimes carried by high-ranking soldiers of the Imperial Army and the Tech-priests of the ancient Mechanicum during the Great Crusade era.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 12"
"Volkite Charger","Volkite Charger","Long Guns",10,"Long",9,2,"15,000 (1,000)","Scarce","Loud, Penetrating (3), Rend (3), Two- Handed","The Volkite Charger was the assault weapon variant of a Volkite Weapon carried by Space Marine infantry and the military forces of the Mechanicum. Whilst not benefiting from the range or power of its larger cousins, the Charger retained the Volkite thermal ray's deflagrating effects and allowed its wielder a greater degree of movement. Volkite Chargers were often employed by Legion Tactical Support Squads.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 12"
"Volkite Caliver","Volkite Caliver","Ordnance",14,"Long",9,3,"17,000 (1,200)","Rare","Heavy (4), Loud, Penetrating (3), Rend (3), Spread, Two-Handed","The Volkite Caliver was a Volkite heavy weapon variant carried by Space Marine and Mechanicum infantry forces. A Volkite rifle with a devastating effect on flesh and bone, the Volkite Caliver was often employed by mobile Legion Tactical Support Squads, utilising firepower superior to that of the more common bolter that would eventually replace it as the standard infantry weapon of the Space Marine Legions.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 12"
"Cognis Flamer","Cognis Flamer","Ordnance",7,"Medium",4,3,"2,000 (200)","Scarce","Cognis, Flamer, Inflict (Ablaze), Loud, Two-Handed","The spark-like anger of the cognis flamer’s machine spirit has been fanned to a roaring blaze. When under duress it will fight with incendiary wrath, even should its wielder be distracted.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 13"
"Incendine Combustor","Incendine Combustor","Ordnance",8,"Medium",6,3,"4,000 (400)","Rare","Flamer, Inflict (Ablaze), Loud, Two- Handed","Typically mounted atop the Kastelan Battle Robot, the incendine combustor hurls out great gouts of burning, thrice-blessed promethium. Laced with Magosblessed unguents and ignited by a flame lit from the Perpetual Forge, each holy fire-thrower can turn a techno-heretic into foul tallow in a matter of seconds.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 13"
"Phosphor Torch","Phosphor Torch","Long Guns",9,"Medium",5,2,"10,000 (500)","Scarce","Flamer, Inflict (Ablaze), Loud, Luminagen, Two- Handed","The Phosphor Torch is a type of Flame Weapon used by Pteraxii Sterylizors, based on the Phosphor technology that has been lost to the Imperium and Adeptus Mechanicus.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 13"
"Taser Goad","Taser Goad","One-Handed","3+StrB","--","--",1,700,"Scarce","Loud, Inflict (Stunned)","Taser weapons have the Inflict (Stunned) and Loud Trait while activated. The Taser Goad is a Taser Weapon of the Adeptus Mechanicus. It is similar in appearance to the electroprod, its metal rods crackling with electrical discharge. Stabbed forward like a rapier, it unleashes a powerful blast of energy that courses through the target's body, frying synapses and tearing internal organs to pulp. The electrothief prongs at the end capture energy again, storing it for another killing zap.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 14"
"Taser Lance","Taser Lance","Two-Handed","4+StrB","--","--",2,900,"Scarce","Heavy (4), Loud, Inflict (Stunned), Two-Handed","Taser weapons have the Inflict (Stunned) and Loud Trait while activated. The Taser Lance is a longer, heavier version of the Taser Goad utilized by the Sydonian Dragoon cavalry of the Adeptus Mechanicus.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 14"
"Chordclaw","Chordclaw","Brawling","4+StrB","--","--",0,4,"Rare","Penetrating (3), Transonic","Battle claw that can turn muscle into bone and fat to jelly. Typically paired with a Transonic Razor, although a wielder with at least 3 arms might pair one with a pair of Transonic Blades. Chordclaws are fundamentally designed differently from transonic ""cutting"" weapons (blades and razors) and so also behave differently on the battlefield.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 15"
"Transonic Razor","Transonic Razor","One-Handed","4+StrB","--","--",0,6,"Rare","Subtle, Penetrating (3), Transonic","One of three forms of Transonic Weapons utilized by the Sicarian Ruststalkers, it is a long blade wielded in pairs.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 15"
"Transonic Blade","Transonic Blade","One-Handed","5+StrB","--","--",1,6,"Rare","Penetrating (3), Transonic","One of three forms of Transonic Weapons utilized by the Sicarian Ruststalkers, it is a short dagger-like blade wielded alongside a Chordclaw.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 15"
"Electroleech Staff","Electroleech Staff","Two-Handed","4+StrB","--","--",0,2,"Rare","Loud, Inflict (Stunned)","Electroleech Staves are a type of weapon used by Adeptus Mechanicus Electro-Priests. The powerful capacitors built into the length of each electroleech stave allow them to drink every iota of electric force from those they strike - be they living or machine.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 16"
"Electrostatic Gauntlets","Electrostatic Gauntlets","Brawling","3+StrB","--","--",1,2,"Rare","Loud, Inflict (Stunned)","Electrostatic Gauntlets are a type of weapon used by Adeptus Mechanicus Electro-Priests. Corpuscarii wear metal apparatuses around their wrists that channel tremendous electrostatic potential from dorsal generators. This can be discharged in a cascade of killing lightning. The Ranged fighting mode of the Electrostatic Gauntlets has a Mag value of 4, and restores 1 value per hour when not in use.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 16"
"Electrostatic Gauntlets (Ranged)","Electrostatic Gauntlets (Ranged)","Pistols",6,"Short",4,0,"--","Rare","Close, Loud, Inflict (Stunned), Spread","Electrostatic Gauntlets are a type of weapon used by Adeptus Mechanicus Electro-Priests. Corpuscarii wear metal apparatuses around their wrists that channel tremendous electrostatic potential from dorsal generators. This can be discharged in a cascade of killing lightning. The Ranged fighting mode of the Electrostatic Gauntlets has a Mag value of 4, and restores 1 value per hour when not in use.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 16"
"Omnissian Axe","Omnissian Axe","Two-Handed","6+StrB","--","--",2,"Special","Exotic","Heavy (4), Penetrating (6), Two-Handed","A holy icon of the Cult Mechanicus, the Omnissian axe or glaive is granted to adepts who have shown their faith to the Machine God in battle. No common weapon, it is forged with the finest materials and using secrets of tempering and field generation. These fearsome weapons have no equal amongst power weapons. Saw-toothed and marked with sacred equations, to the followers of the Machine God, the bearer of an Omnisian glaive is a most blessed figure, a furious incarnation of the Machine God’s power in war. The bearer of an Omnissian Axe receives a +1SL bonus to Interaction Tests involving followers of the Machine God. The Omnissian Axe also functions as a multi-tool. An Omnissian Axe may never be bought or deliberately obtained—it is gifted only to tech-priests by their superiors.
Under normal Imperial circumstances, all
weapons worsen their availability by one step
(Common to Scarce, etc) and increase their costs by
somewhere between 2 – 5x the original amount, as
appropriate to the weapon.","E-AMC 17"
"Anti-Tank Cannon","Anti-Tank Cannon","Ordnance",15,"Extreme",1,0,"Special","Special","Accurate, Penetrating (5), Spread","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 20"
"Rocket Artillery","Rocket Artillery","Ordnance",12,"Extreme",6,0,"Special","Special","Blast, Spread, Unstable","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 20"
"Baneblade Cannon","Baneblade Cannon","Ordnance",16,"Extreme",1,0,"Special","Special","Blast, Inflict (Stunnned), Loud, Penetrating (5), Spread","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 21"
"Demolisher Cannon","Demolisher Cannon","Ordnance",18,"Extreme",1,0,"Special","Special","Blast, Inflict (Stunnned), Loud, Penetrating (6)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top. 
Damages its target zone and all adjacent zones","E-VI 21"
"Chem Cannon 'Moxy Pattern'","Chem Cannon 'Moxy Pattern'","Ordnance",12,"Medium",3,0,"Special","Special","Inflict (Poisoned), Loud, Spread","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top. 
Attacks with the chem cannon ignore cover and can choose a zone to target which becomes a minor hazard until the end of the next turn.","E-VI 22"
"Conqueror Cannon","Conqueror Cannon","Ordnance",15,"Extreme",1,0,"Special","Special","Blast, Inflict (Stunned), Loud, Penetrating (3)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 25"
"Griffon Heavy Mortar","Griffon Heavy Mortar","Ordnance","--","Extreme",1,0,"Special","Special","Heavy Mortar, Loud","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top. 
See 'Heavy Mortar' for profile","E-VI 28"
"Battle Cannon","Battle Cannon","Ordnance",15,"Extreme",1,0,"Special","Special","Blast, Loud, Penetrating (5)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 31"
"Laser Destroyer","Laser Destroyer","Ordnance",20,"Extreme",1,0,"Special","Special","Loud, Penetrating (10)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 35"
"Eradicator Nova Cannon","Eradicator Nova Cannon","Ordnance",18,"Extreme",1,0,"Special","Special","Blast, Inflict (Stunned, Irradiated), Loud, Penetrating (5), Spread","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 36"
"Plasma Destroyer","Plasma Destroyer","Ordnance",16,"Extreme",1,0,"Special","Special","Loud, Penetrating (6), Spread, Supercharge (4), Unstable","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 37"
"Exterminator Cannon","Exterminator Cannon","Ordnance",12,"Extreme",4,0,"Special","Special","Loud, Penetrating (3), Rapid Fire (4), Twin-Linked","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 38"
"Punisher Gatling Cannon","Punisher Gatling Cannon","Ordnance",12,"Extreme",3,0,"Special","Special","Loud, Penetrating (2), Spread, Storm (3)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 39"
"Vanquisher Cannon","Vanquisher Cannon","Ordnance",16,"Extreme",1,0,"Special","Special","Loud, Penetrating (10)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 40"
"Opressor Cannon","Opressor Cannon","Ordnance",16,"Extreme",1,0,"Special","Special","Inflict (Stunned), Loud, Penetrating","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 42"
"Castigator Gatling Cannon","Castigator Gatling Cannon","Ordnance",10,"Extreme",4,0,"Special","Special","Loud, Storm (4)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 42"
"Pulverizer Cannon","Pulverizer Cannon","Ordnance",14,"Extreme",1,0,"Special","Special","Blast, Inflict (Stunned), Loud, Penetrating (4)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top. 
Damages its target zone and all adjacent zones","E-VI 42"
"Tauros Grenade Launcher","Tauros Grenade Launcher","Ordnance","--","Long",2,0,"Special","Special","Burst, Loud","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 45"
"Hunter Killer Missiles","Hunter Killer Missiles","Ordnance",18,"Extreme",1,0,"Special","Special","Disposable, Loud, Penetrating (4), Seeking, Spread","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 46"
"Taurox Gatling Cannon","Taurox Gatling Cannon","Ordnance",10,"Extreme",3,0,"Special","Special","Loud, Penetrating (2), Spread, Storm (3)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 47"
"Taurox Missile Launcher","Taurox Missile Launcher","Ordnance","--","Extreme",1,0,"Special","Special","Loud","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 47"
"Taurox Battle Cannon","Taurox Battle Cannon","Ordnance",13,"Extreme",1,0,"Special","Special","Blast, Loud, Penetrating (4)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 47"
"Heavy Missile Launcher","Heavy Missile Launcher","Ordnance",16,"Extreme",2,0,"Special","Special","Loud, Penetrating (6), Spread, Unstable","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 48"
"Rocket Pods","Rocket Pods","Ordnance",8,"Extreme",20,0,"Special","Special","Blast, Loud, Unstable","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 48"
"Hellfury Missiles","Hellfury Missiles","Ordnance",10,"Extreme",1,0,"Special","Special","Blast, Disposable, Inflict (Ablaze), Loud, Spread","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 50"
"Avenger Bolt Cannon","Avenger Bolt Cannon","Ordnance",20,"Extreme",1,0,"Special","Special","Loud, Penetrating (10), Storm (4)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 51"
"Skystrike Missiles","Skystrike Missiles","Ordnance",16,"Extreme",1,0,"Special","Special","Disposable, Loud, Penetrating (6), Seeking","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 52"
"Las Breacher","Las Breacher","Ordnance",20,"Extreme",3,0,"Special","Special","Loud, Penetrating (12)","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 57"
"Tactical Bomb","Tactical Bomb","Ordnance",10,"Extreme",1,0,"Special","Special","Blast, Loud, Unstable","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 59"
"Water Cannon","Water Cannon","Ordnance",6,"Long",4,0,"Special","Special","Inflict (Stunned), Loud, Reliable, Spray","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 17"
"Exorcist Missile Battery (Conflagration)","Exorcist Missile Battery (Conflagration)","Ordnance",16,"Extreme",12,0,"Special","Special","Blast, Flame, Inflict (Ablaze), Loud, Spread, Unstable","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 63"
"Exorcist Missile Battery (Exorcist)","Exorcist Missile Battery (Exorcist)","Ordnance",16,"Extreme",12,0,"Special","Special","Blast, Loud, Penetrating (6), Rend (6), Spread, Unstable","Mag sizes are estimates by Alaric and usually derived from logic or models used on the table top.","E-VI 63"
"Pulse Pistol 'Moxy Pattern'","Pulse Pistol 'Moxy Pattern'","Pistols",8,"Medium",4,1,"9,000 (500)","Exotic","Burst, Close, Loud","Pulse Weapons are a family of advanced Plasma Weapons developed by the Earth Caste of the T’au Empire and exclusively used by the T’au Fire Caste and its auxiliaries. Pulse Weapons operate by u lising pulsed induction fields to propel lethal micro-bursts of plasma over long ranges.","E-TA 1"
"Pulse Carbine 'Moxy Pattern'","Pulse Carbine 'Moxy Pattern'","Long Guns",10,"Long",4,2,"10,000 (550)","Exotic","Gyro-Stabilized, Loud, Rapid Fire (2), Two-Handed","Pulse Weapons are a family of advanced Plasma Weapons developed by the Earth Caste of the T’au Empire and exclusively used by the T’au Fire Caste and its auxiliaries. Pulse Weapons operate by u lising pulsed induction fields to propel lethal micro-bursts of plasma over long ranges.
The Pulse Carbine automatically comes with the Auxiliary Grenade Launcher modification (Weapon Modifications Homebrew), loaded with a single Photon Flash Grenade (Core Rulebook p136).","E-TA 2"
"Pulse Rifle 'Moxy Pattern'","Pulse Rifle 'Moxy Pattern'","Long Guns",10,"Long",6,3,"12,000 (670)","Exotic","Gyro-Stabilized, Loud, Rapid Fire (3), Two-Handed","Pulse Weapons are a family of advanced Plasma Weapons developed by the Earth Caste of the T’au Empire and exclusively used by the T’au Fire Caste and its auxiliaries. Pulse Weapons operate by u lising pulsed induction fields to propel lethal micro-bursts of plasma over long ranges.","E-TA 2"
"Longshot Pulse Rifle 'Moxy Pattern'","Longshot Pulse Rifle 'Moxy Pattern'","Long Guns",10,"Extreme",5,3,"13,000 (700)","Exotic","Loud, Penetrating (1), Rapid Fire (2), Two-handed","Pulse Weapons are a family of advanced Plasma Weapons developed by the Earth Caste of the T’au Empire and exclusively used by the T’au Fire Caste and its auxiliaries. Pulse Weapons operate by u lising pulsed induction fields to propel lethal micro-bursts of plasma over long ranges.","E-TA 2"
"Pulse Blaster 'Moxy Pattern'","Pulse Blaster 'Moxy Pattern'","Long Guns",9,"Medium",6,2,"11,000 (525)","Exotic","Inflict (Prone), Loud, Spread, Two-Handed","Pulse Weapons are a family of advanced Plasma Weapons developed by the Earth Caste of the T’au Empire and exclusively used by the T’au Fire Caste and its auxiliaries. Pulse Weapons operate by u lising pulsed induction fields to propel lethal micro-bursts of plasma over long ranges.","E-TA 2"
"Ion Rifle","Ion Rifle","Ordnance",12,"Extreme",6,3,"15,000 (850)","Exotic","Heavy (3), Loud, Supercharge (4), Two-Handed","Ion Weapons are advanced Tau weapons that fire high-energy streams of ions at a target. These streams can vaporize flesh and metal with equal ease. Ion weapons can be overcharged to generate a devastating attack, but doing so risks overheating its primary power cell.","E-TA 2"
"Rail Rifle","Rail Rifle","Long Guns",12,"Extreme",6,3,"20,000 (1,100)","Exotic","Heavy (3), Loud, Penetrating (4), Two-Handed, Unstable","Rail Weapons are Tau and Squat weapons and considered some of the most potent and fearsome weaponry employed by the Tau Empire. Rail weapons are linear accelerators that use super-conductive electrodes to accelerate a solid-shot round to hypersonic speeds. The vast kinetic energy generated by the round on impact is capable of devastating damage on enemy vehicles.","E-TA 2"
"Kroot Rifle 'Moxy Pattern'","Kroot Rifle 'Moxy Pattern'","Long Guns",7,"Long",4,2,"12,000 (670)","Exotic","Heavy (4), Loud, Two-Handed","Kroot weapons are solid projectile weapons that have been adapted to fire charged pulse rounds, giving it the equivalent stopping power of Imperial Bolt weapons. Blades attached near the muzzle and stock emulate traditional Kroot fighting staves, dealing 6+SL Damage as Two-Handed Melee weapons.","E-TA 2"
"Kroot Hunting Rifle 'Moxy Pattern'","Kroot Hunting Rifle 'Moxy Pattern'","Long Guns",9,"Extreme",4,2,"15,000 (850)","Exotic","Heavy (4), Loud, Penetrating (1), Two-Handed","Kroot weapons are solid projectile weapons that have been adapted to fire charged pulse rounds, giving it the equivalent stopping power of Imperial Bolt weapons. Blades attached near the muzzle and stock emulate traditional Kroot fighting staves, dealing 6+SL Damage as Two-Handed Melee weapons.","E-TA 2"
"Kroot Gun 'Moxy Pattern'","Kroot Gun 'Moxy Pattern'","Ordnance",12,"Extreme",10,3,"15,000 (850)","Exotic","Burst, Heavy (4), Loud, Two-Handed","Kroot weapons are solid projectile weapons that have been adapted to fire charged pulse rounds, giving it the equivalent stopping power of Imperial Bolt weapons. Blades attached near the muzzle and stock emulate traditional Kroot fighting staves, dealing 6+SL Damage as Two-Handed Melee weapons.","E-TA 2"
"Neutron Blaster","Neutron Blaster","Long Guns",10,"Medium",4,2,"20,000 (1,100)","Exotic","Burst, Inflict (Poisoned), Loud, Penetrating (4), Two-Handed, Unstable, Vespid",,"E-TA 2"
"EMP Grenade","EMP Grenade","Thrown, Ordnance","--","--",1,0,5,"Exotic","Blast, Loud, Haywire (3), Thrown (Medium), Unstable",,"E-TA 3"
"Honor Blade","Honor Blade","One-Handed","4+StrB","--","--",2,25,"Exotic","Penetrating (6)","An Honor Blade is a weapon carried by Tau Ethereals and Ethereal Guards for a number of uses. Primarily used as symbols of office, they are also typically used for spiritual duels and self-defense.","E-TA 3"
"Equalizer","Equalizer","Two-Handed","5+StrB","--","--",1,22,"Exotic","Penetrating (2), Two-Handed","Equalizers are Tau ceremonial weapons typically carried in pairs by Ethereals. They are not only a badge of office but also can be a potent weapon that contains a powerful disruption field able to shatter armor and bones.","E-TA 3"
"Bonding Knife","Bonding Knife","One-Handed","1+StrB","--","--",0,9,"Exotic","Thrown (Short)","The Bonding Knife is a ceremonial knife that serves as part of the Tau ritual of the Ta'lissera, in which a group is bonded together through ritualistic cuttng of their flesh.","E-TA 3"
"Honor Staff","Honor Staff","Two-Handed","1+StrB","--","--",1,20,"Exotic","Defensive, Two-Handed","Honor Staves are carried by Tau Ethereals as a symbol of their authority, but in a tight situation they can also be used to bludgeon any enemies who come too close to them.","E-TA 3"
"Burst Cannon","Burst Cannon","Long Guns",10,"Long",10,4,"25,000 (1,300)","Exotic","Loud, Rapid Fire (5)",,"E-TA 4"
"Gatling Burst Cannon","Gatling Burst Cannon","Ordnance",12,"Long",12,5,"30,000 (1,600)","Exotic","Loud, Rapid Fire (6)",,"E-TA 4"
"Heavy Burst Cannon","Heavy Burst Cannon","Ordnance",12,"Extreme",14,6,"35,000 (2,000)","Exotic","Loud, Rapid Fire (7)",,"E-TA 4"
"Phased Plasma-Flamer","Phased Plasma-Flamer","Ordnance",12,"Long",4,8,"40,000 (3,000)","Exotic","Flamer, Inflict (Ablaze), Loud, Rapid Fire (2)",,"E-TA 4"
"Pulse Blastcannon","Pulse Blastcannon","Ordnance",20,"Extreme",2,10,"1,000,000 (50,000)","Exotic","Loud, Penetrating (18)","Pulse Weapons are a family of advanced Plasma Weapons developed by the Earth Caste of the T’au Empire and exclusively used by the T’au Fire Caste and its auxiliaries. Pulse Weapons operate by u lising pulsed induction fields to propel lethal micro-bursts of plasma over long ranges.","E-TA 4"
"Pulse Driver Cannon","Pulse Driver Cannon","Ordnance",20,"Extreme",4,10,"1,200,000 (55,000)","Exotic","Loud, Penetrating (16)","Pulse Weapons are a family of advanced Plasma Weapons developed by the Earth Caste of the T’au Empire and exclusively used by the T’au Fire Caste and its auxiliaries. Pulse Weapons operate by u lising pulsed induction fields to propel lethal micro-bursts of plasma over long ranges.","E-TA 4"
"Pulse Ordnance Multi-Driver","Pulse Ordnance Multi-Driver","Ordnance",18,"Extreme",9,10,"1,000,000 (50,000)","Exotic","Loud, Triple-Linked, Penetrating (14)","Pulse Weapons are a family of advanced Plasma Weapons developed by the Earth Caste of the T’au Empire and exclusively used by the T’au Fire Caste and its auxiliaries. Pulse Weapons operate by u lising pulsed induction fields to propel lethal micro-bursts of plasma over long ranges.","E-TA 4"
"Heavy Rail Rifle","Heavy Rail Rifle","Ordnance",14,"Extreme",10,4,"1,000,000 (50,000)","Exotic","Loud, Penetrating (6), Twin-Linked","Rail Weapons are Tau and Squat weapons and considered some of the most potent and fearsome weaponry employed by the Tau Empire. Rail weapons are linear accelerators that use super-conductive electrodes to accelerate a solid-shot round to hypersonic speeds. The vast kinetic energy generated by the round on impact is capable of devastating damage on enemy vehicles.","E-TA 4"
"Hammerhead Railgun","Hammerhead Railgun","Ordnance",16,"Extreme",6,6,"25,000 (1,000)","Exotic","Blast, Loud, Penetrating (6)","Rail Weapons are Tau and Squat weapons and considered some of the most potent and fearsome weaponry employed by the Tau Empire. Rail weapons are linear accelerators that use super-conductive electrodes to accelerate a solid-shot round to hypersonic speeds. The vast kinetic energy generated by the round on impact is capable of devastating damage on enemy vehicles.","E-TA 4"
"Heavy Railcannon","Heavy Railcannon","Ordnance",18,"Extreme",6,8,"50,000 (6,000)","Exotic","Loud, Penetrating (10)","Rail Weapons are Tau and Squat weapons and considered some of the most potent and fearsome weaponry employed by the Tau Empire. Rail weapons are linear accelerators that use super-conductive electrodes to accelerate a solid-shot round to hypersonic speeds. The vast kinetic energy generated by the round on impact is capable of devastating damage on enemy vehicles.","E-TA 4"
"Cyclic Ion Blaster","Cyclic Ion Blaster","Ordnance",10,"Long",8,4,"30,000 (3,000)","Exotic","Loud, Penetrating (2), Rapid Fire (4), Spread","Ion Weapons are advanced Tau weapons that fire high-energy streams of ions at a target. These streams can vaporize flesh and metal with equal ease. Ion weapons can be overcharged to generate a devastating attack, but doing so risks overheating its primary power cell.","E-TA 4"
"Cyclic Ion Raker","Cyclic Ion Raker","Ordnance",14,"Extreme",12,6,"45,000 (4,500)","Exotic","Loud, Penetrating (4), Rapid Fire (4), Spread","Ion Weapons are advanced Tau weapons that fire high-energy streams of ions at a target. These streams can vaporize flesh and metal with equal ease. Ion weapons can be overcharged to generate a devastating attack, but doing so risks overheating its primary power cell.","E-TA 4"
"Ion Accelerator","Ion Accelerator","Ordnance",16,"Extreme",4,6,"80,000 (10,000)","Exotic","Loud, Penetrating (10)","Ion Weapons are advanced Tau weapons that fire high-energy streams of ions at a target. These streams can vaporize flesh and metal with equal ease. Ion weapons can be overcharged to generate a devastating attack, but doing so risks overheating its primary power cell.","E-TA 4"
"Ion Cannon","Ion Cannon","Ordnance",18,"Extreme",4,8,"100,000 (25,000)","Exotic","Loud, Penetrating (14)","Ion Weapons are advanced Tau weapons that fire high-energy streams of ions at a target. These streams can vaporize flesh and metal with equal ease. Ion weapons can be overcharged to generate a devastating attack, but doing so risks overheating its primary power cell.","E-TA 4"
"T'au Missile Pods","T'au Missile Pods","Ordnance","--","Extreme",5,4,"30,000 (1,700)","Exotic","Loud",,"E-TA 5"
"Cluster Rocket System","Cluster Rocket System","Ordnance",16,"Extreme",3,6,"100,000 (20,000)","Exotic","Loud, Penetrating (10), Spread, Unstable",,"E-TA 5"
"Destroyer Missile","Destroyer Missile","Ordnance",20,"Extreme",1,8,"200,000 (40,000)","Exotic","Loud, Penetrating (12), Unstable",,"E-TA 5"
"Fragmentation Cluster Shell Launcher","Fragmentation Cluster Shell Launcher","Ordnance",12,"Medium",4,6,"50,000 (3,500)","Exotic","Blast, Loud, Unstable",,"E-TA 5"
"Smart Missile System","Smart Missile System","Ordnance",10,"Long",6,5,"40,000 (2,000)","Exotic","Burst, Blast, Loud, Unstable",,"E-TA 5"
"T'au Plasma Rifle","T'au Plasma Rifle","Long Guns",12,"Long",5,4,"28,000 (1,550)","Exotic","Loud, Penetrating (6), Supercharge (4)",,"E-TA 5"
"T'au Plasma Cannon","T'au Plasma Cannon","Ordnance",14,"Extreme",4,6,"25,000 (1,500)","Exotic","Loud, Penetrating (6), Supercharge (5)",,"E-TA 5"
