Talent,Category,Src,Prerequisites,Brief,Text,ID,Rules
Daemonologist,Psyker,MalExp,"Psyker Talent, 1 Advance in Lore(Forbidden – Daemonology) ",On target daemon with Psyker Power: +SL = Advances in Lore(Daemonology),"When you are using a psychic power and the target is a Daemon, you gain an amount of success levels equal to the number of advances you have in Lore(Forbidden – Daemonology). This may turn a failed test into a successful one. ",000205,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Forbidden – Daemonology"" && i.system.skill == ""lore"")?.system?.advances >= 1) && this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"")"
Favored by the Warp,Psyker,MalExp,"Psyker Talent, 2 Advances in Psychic Mastery",May re-roll and pick rolls on Psychic Phenomena unless you got Persils of the Warp,"Whenever you are being affected by Psychic Phenomena, as long as you are not subject to Perils of the Warp, you may roll a second time and choose which result you receive.",000206,"return this.actor.system.skills.psychic.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"")"
Light of Terra,Psyker,MalExp,"Sanctioned Psyker Talent, 2 Advances in Psychic Mastery","On Psychic Power damage on ""unclean"" targets: deal double damage. Loose this if you gain 2 mutations or Malignancies","The pilgrimage to the seat of the Emperor has a profound effect on the majority of sanctioned, but for a few, there is a very real effect on their souls. Any wounds inflicted by a Psychic Power on a Daemon, Mutant, Unsanctioned Psyker, Sorcerer, or other character the GM considers “unclean” by a Psyker with this talent is doubled. The effects of this talent are lost if the Psyker ever gains two Mutations or two Malignancies unless you find a way to rid yourself of them. ",000207,"return this.actor.system.skills.psychic.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Sanctioned Psyker"")"
Mental Rage,Psyker,MalExp,"Psyker Talent, Frenzy Talent",May use Psychic Powers while Frenzied,"The madness and hate you have subjected yourself to opens your mind to the warp, allowing you to use your psychic curse with little conscious thought. While you are frenzied, you may still use Psychic Powers. ",000208,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"") && this.actor.itemTypes[""talent""].find(i => i.name == ""Frenzy"")"
Mind of Adamant,Psyker,MalExp,"Psyker Talent, 2 Advances in Discipline",On Opposed Discipline check for Psychic Power: may spend FP to gain IntB SL,"Whenever you make an Opposed Discipline Skill Test for a Psychic Power (either yours or your opponents), you may spend a Fate Point. If you do so, you gain a number of success levels equal to your Intelligence Bonus. This may turn a failed test into a successful one. ",000209,"return this.actor.system.skills.discipline.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"")"
Natural Psyker,Psyker,MalExp,"Psyker Talent, 1 Advance in Psychic Mastery","Choose Minor Psyker Power. 1/encounter may cast this as free action. Can also cast a ""normal"" Psyker power before/after this","When you take this talent, choose one Minor Psychic Power. As a Free Action, you may cast this power once per encounter. You will still be able to cast Psychic Powers as an action before or after you use this talent",000210,"return this.actor.system.skills.psychic.advances >= 1 && this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"")"
Psychic Locus,Psyker,MalExp,Psyker Talent,"Perils of the Warp effects within Medium range target you instead of the source, powers afffecting other characters as well as powers with a range are centered on you","You are the point of focus for baleful energies of the Immaterium. If another character must roll on the Perils of the Warp table and is within Medium Range of you, then you will be the affected target of the result instead. Effects that would normally affect other characters instead affect you, and any effect with a range is centered on you. ",000211,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"")"
Psykerpath,Psyker,MalExp,"Psyker Talent, 2 Advances in Discipline",On Perils of the Warp:may spend FP to ignore all ill effect. It does not cancel the effects on others though!,"After being forced to roll on the Perils of the Warp Table, you may spend a Fate Point to avoid suffering any ill effects from the result. If the result would affect others or the environment, the effects still apply to everyone but the psyker. This includes being possessed or consumed by the warp. ",000212,"return this.actor.system.skills.discipline.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"")"
Tainted Psyker,Psyker,MalExp,"Psyker Talent, must have made at least one Corruption Test",When manifesting power: may take corruption = Warp Rating / 2 to gain +1SL to manifest. It will add +10 to next Psychic Phenomena roll,"Whenever you test to cast a Psychic Power, you may choose to gain a number of Corruption Points equal to the half the Warp Rating of your power (round up). For each point you gain this way, you gain +1SL to cast the power, but add +10 to any rolls for Psychic Phenomena later.  ",000213,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"")"
Undisciplined Psyker,Psyker,MalExp,"Psyker Talent, cannot be Sanctioned ",When Push to manifest: may reroll failed test. Adds +20 to Psychic Phenomena & Perils of the Warp roll,"When attempting to Push (pg. 162) a Psychic Power, you are also able to reroll failed tests once. However, you must add an additional +20 to both Psychic Phenomena and any resulting Perils of the Warp rolls.",000214,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"")"
Unsulliable,Psyker,MalExp,Light of Terra Talent,Daemons consider your zone as a Minor Hazard,"Your purity sends the Daemonic reeling, cleansing the space around you of all its chaotic influences. Daemons consider the zone you are in as a Minor Hazard (pg. 206). ",000215,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Light of Terra"")"
Warp Lock,Psyker,MalExp,"Psyker Talent, 4 Advances in Discipline",1/session: negate Psychic Phenomena roll (including Perils) but take 1d5 damage to head ignoring armor. Cannot use or sustain powers until your next turn,"You have learned to swiftly cut yourself off from the Warp to protect your mind from its tendrils. Once per session, you may ignore the effects of Psychic Phenomena you have rolled (including the Perils of the Warp result on the table), completely negating its effects. However, you suffer 1d5 Damage to your head, ignoring armor, and cannot make any Psychic Mastery Tests or sustain any psychic powers until the start of your next turn. ",000216,"return this.actor.system.skills.discipline.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"")"
Warp Shield,Psyker,MalExp,Psyker Talent,"Test Psychic Mastery to create a Force Field with 1d10 protection rating. on 5+SL, the rating is 2d10","You can choose to sacrifice your psychic potential to form a barrier of protection around yourself. You may choose to make a Psychic Mastery Test, which if you succeed, you gain a Force Field with a protection rating of 1d10. If you succeed by +5SL, you instead have 2d10. ",000217,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Psyker"")"
Wyrdvane,Psyker,MalExp,Psychic Locus Talent,Redirect Perils of the Warp effect from anyone within Medium range (including self) to another character within Medium range,"You have learned to channel and redirect the worst effects of the Immaterium. You can redirect the effects of the Perils of the Warp rolls from any character within Medium Range of yourself, including yourself, onto another character of your choosing within Medium Range. ",000218,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Psychic Locus"")"
Bane of Daemon,Untouchables,MalExp,"Blank Talent, 2 Advances in Discipline",Daemons treat the Zone you are in as a Major Hazard,Daemons treat the Zone you are in as a Major Hazard (pg. 206) instead of a Minor Hazard.,000219,"return this.actor.system.skills.discipline.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Blank"")"
Daemonic Anathema,Untouchables,MalExp,"Blank Talent, Warp Disruption Talent",Deaemons in your zone do not benefit from daemonic armor,Daemons within your zone do not gain the benefits of the Daemonic trait that grants them armor.,000220,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Blank"") && this.actor.itemTypes[""talent""].find(i => i.name == ""Warp Disruption"")"
Daemonic Disruption,Untouchables,MalExp,"Blank Talent, Bane of the Daemon Talent",Daemons have Disadvantage to melee attack you,"Whenever a Daemon attempts to make a Melee Attack (pg. 211) against you, they suffer Disadvantage. ",000221,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Blank"") && this.actor.itemTypes[""talent""].find(i => i.name == ""Bane of the Daemon"")"
Psychic Null,Untouchables,MalExp,"Blank Talent, 2 Advances in Discipline","On psyker targeting your zone (or anyone therein) OR a manifest test fails within Short range of you, the psyker 3+ WpB damage (ignore armor)","When a Test is made to Manifest a psychic power that targets your zone, an individual in your zone, or made within Short Range of you fails, the Psyker suffers Wounds equal to the Warp Rating of the power they attempted to manifest. ",000222,"return this.actor.system.skills.discipline.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Blank"")"
Warp Disruption,Untouchables,MalExp,Blank Talent,Manifest tests in your zone have Warp Rating +1 and sustaining psychic powers in your zone requires (free action) sustain check,"Any Psychic Power being manifested within your zone increases its Warp Rating by 1, and any Psyker currently sustained a Psychic Power within Short Range of you must test to continue sustaining it as a Free Action. If you take this Talent again, Daemons within Short Range of you must make a Difficult (-10) Willpower Test at the start of their turn as long as they remain within Short Range of you. If they fail this test, they are suffer 3 + WilB Damage that ignores Armor. ",000223,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Blank"")"
Warp Disruption II,Untouchables,MalExp,Warp Disruption talent,On Daemon starts turn within Short Range of you: it must test Dicipline-10 test or suffer 3+WpB damage ignoring armor,"Daemons within Short Range of you must make a Difficult (-10) Willpower Test at the start of their turn as long as they remain within Short Range of you. If they fail this test, they are suffer 3 + WilB Damage that ignores Armor. ",000224,
Ambush,Stealth,MalExp,1 Advance in Stealth,On attacking surprised targets: +1 damage for each 2 SL,"The Tactica Imperialis teaches that a battle is easily won if they do not know they are fighting, and you take this maxim to heart. Your attacks against Surprised Targets inflict 1 additional damage for every +2SL on the attack Tests beyond the first.",000225,return this.actor.system.skills.stealth.advances >= 1
Deference for Darkness,Stealth,MalExp,2 Advances in Stealth,+2SL to Hide and Attack while Hidden if in dark or poorly lit zone,"When under the cover of the Dark or Poorly Lit features in a zone, you gain a +2SL bonus on Stealth Tests to Hide and avoid being hit, and gain +2SL on tests to attack while hidden (CRB pg. 214)",000226,return this.actor.system.skills.stealth.advances >= 2
